src,dst
1016,3579
5266,215
215,5266
4158,183
183,4158
4361,155
155,4361
5475,38
38,5475
5764,265
265,5764
5779,252
252,5779
6487,43
43,6487
6548,142
142,6548
5316,224
224,5316
7010,183
183,7010
11874,214
214,11874
12191,142
142,12191
12892,31
31,12892
13134,38
38,13134
13375,38
38,13375
20921,884
884,20921
26175,214
214,26175
34615,38
38,34615
44239,414
414,44239
46852,218
218,46852
47554,36
36,47554
52097,38
38,52097
83404,218
218,83404
92297,148
148,92297
105317,38
38,105317
117676,45
45,117676
162677,159
159,162677
167109,28
28,167109
171617,155
155,171617
171632,717
717,171632
172455,142
142,172455
174461,668
668,174461
182059,117
117,182059
5640,224
224,5640
184998,28
28,184998
187805,30
30,187805
5276,183
183,5276
188313,145
145,188313
190118,142
142,190118
192606,403
403,192606
233909,142
142,233909
717049,142
142,717049
958153,96
96,958153
5582862,419
419,5582862
29042,189
189,29042
1763,159
159,1763
27168,35
35,27168
28911,33
33,28911
34550,34
34,34550
62266,20
20,62266
103725,189
189,103725
128069,30
30,128069
132936,17
17,132936
135410,159
159,135410
152436,801
801,152436
170287,403
403,170287
173121,96
96,173121
179585,218
218,179585
193190,229
229,193190
200061,403
403,200061
203263,30
30,203263
217720,43
43,217720
432397,223
223,432397
485581,45
45,485581
512901,30
30,512901
676724,1027
1027,676724
851023,28
28,851023
3787,1033
1033,3787
3037,837
837,3037
3001,730
730,3001
13372,38
38,13372
13674,38
38,13674
2999,183
183,2999
14891,183
183,14891
15695,29
29,15695
16559,30
30,16559
18808,423
423,18808
27860,252
252,27860
34028,155
155,34028
49218,30
30,49218
53077,96
96,53077
110218,924
924,110218
125293,96
96,125293
130514,79
79,130514
170616,17
17,170616
171224,30
30,171224
177861,30
30,177861
178531,219
219,178531
186935,792
792,186935
200078,17
17,200078
202907,17
17,202907
209905,43
43,209905
213324,17
17,213324
214173,419
419,214173
274584,783
783,274584
320950,213
213,320950
333928,717
717,333928
334577,774
774,334577
394701,148
148,394701
5836,29
29,5836
8851,29
29,8851
13362,38
38,13362
16567,30
30,16567
38453,30
30,38453
170967,43
43,170967
384,221
221,384
23551,717
717,23551
7024,39
39,7024
13495,38
38,13495
14323,29
29,14323
15684,29
29,15684
33959,142
142,33959
34804,30
30,34804
120730,17
17,120730
131429,96
96,131429
133073,664
664,133073
165204,96
96,165204
192888,219
219,192888
193103,236
236,193103
193250,954
954,193250
199723,43
43,199723
5398,183
183,5398
202562,142
142,202562
204150,184
184,204150
204434,225
225,204434
205942,43
43,205942
209329,403
403,209329
216853,38
38,216853
217768,142
142,217768
219671,953
953,219671
225641,114
114,225641
300856,35
35,300856
312759,262
262,312759
24231,35
35,24231
391626,37
37,391626
488314,183
183,488314
488975,20
20,488975
490453,183
183,490453
491540,30
30,491540
556471,41
41,556471
600871,55
55,600871
774015,145
145,774015
835012,29
29,835012
931778,30
30,931778
956943,142
142,956943
983747,155
155,983747
240,31
31,240
269,265
265,269
393,36
36,393
8717,29
29,8717
8826,29
29,8826
10389,252
252,10389
10690,145
145,10690
3549,224
224,3549
13140,38
38,13140
13146,38
38,13146
3543,38
38,3543
13329,38
38,13329
15098,29
29,15098
16554,30
30,16554
40191,408
408,40191
40738,43
43,40738
47772,414
414,47772
51923,38
38,51923
51935,38
38,51935
51951,38
38,51951
52279,38
38,52279
52607,414
414,52607
58890,38
38,58890
82070,822
822,82070
82960,183
183,82960
83285,222
222,83285
131127,225
225,131127
174002,142
142,174002
178835,822
822,178835
179833,227
227,179833
187205,218
218,187205
226,223
223,226
334,334
334,334
1410,1410
1410,1410
1718,183
183,1718
1748,35
35,1748
1757,33
33,1757
350,145
145,350
2966,183
183,2966
4197,183
183,4197
5196,159
159,5196
9365,863
863,9365
13377,38
38,13377
16087,183
183,16087
41262,145
145,41262
41474,757
757,41474
43196,30
30,43196
53889,38
38,53889
163108,142
142,163108
3928,183
183,3928
201391,191
191,201391
208793,142
142,208793
244692,55
55,244692
329609,183
183,329609
498540,183
183,498540
676672,142
142,676672
683512,33
33,683512
764425,145
145,764425
203000,145
145,203000
285,142
142,285
201613,17
17,201613
201051,801
801,201051
201442,403
403,201442
203380,664
664,203380
2132,16
16,2132
2214,159
159,2214
202158,33
33,202158
2288,159
159,2288
2742,183
183,2742
200718,668
668,200718
201722,41
41,201722
3159,159
159,3159
3933,183
183,3933
3942,183
183,3942
200133,41
41,200133
4086,183
183,4086
202188,43
43,202188
200908,41
41,200908
7947,159
159,7947
13137,38
38,13137
202776,1041
1041,202776
13369,38
38,13369
13373,38
38,13373
13376,38
38,13376
13972,191
191,13972
201186,36
36,201186
16109,183
183,16109
26119,214
214,26119
26807,30
30,26807
30096,35
35,30096
36036,212
212,36036
37333,36
36,37333
41252,36
36,41252
57076,20
20,57076
57756,148
148,57756
59091,34
34,59091
59473,403
403,59473
79867,30
30,79867
79880,28
28,79880
588,36
36,588
546,38
38,546
641,38
38,641
749,55
55,749
898,159
159,898
1194,183
183,1194
2630,159
159,2630
2795,183
183,2795
5972,252
252,5972
10704,4628
4628,10704
11720,148
148,11720
12225,29
29,12225
13649,38
38,13649
40840,33
33,40840
42810,142
142,42810
43070,212
212,43070
43788,30
30,43788
48278,739
739,48278
79848,145
145,79848
79875,30
30,79875
81882,155
155,81882
102397,28
28,102397
156080,213
213,156080
11910,668
668,11910
1015,215
215,1015
1341,159
159,1341
1709,183
183,1709
11959,29
29,11959
3646,159
159,3646
13320,38
38,13320
3865,183
183,3865
3874,183
183,3874
12303,29
29,12303
7003,142
142,7003
7038,29
29,7038
7525,159
159,7525
12994,31
31,12994
9580,29
29,9580
12258,29
29,12258
14805,183
183,14805
15090,29
29,15090
13153,29
29,13153
12292,29
29,12292
15553,29
29,15553
16562,30
30,16562
23051,145
145,23051
25797,214
214,25797
40958,38
38,40958
42007,28
28,42007
42635,148
148,42635
48292,142
142,48292
52074,38
38,52074
53190,38
38,53190
54264,30
30,54264
55137,38
38,55137
55630,403
403,55630
55973,38
38,55973
80021,211
211,80021
115382,241
241,115382
11977,36
36,11977
116592,38
38,116592
119284,183
183,119284
120399,38
38,120399
128086,38
38,128086
131638,222
222,131638
132790,142
142,132790
152491,801
801,152491
157246,221
221,157246
168057,218
218,168057
168668,219
219,168668
171612,155
155,171612
193802,1028
1028,193802
12618,29
29,12618
199697,142
142,199697
202316,155
155,202316
208151,811
811,208151
11994,29
29,11994
208538,142
142,208538
216978,224
224,216978
223427,38
38,223427
237655,184
184,237655
238205,142
142,238205
241767,29
29,241767
270090,241
241,270090
277478,38
38,277478
331556,1045
1045,331556
502264,214
214,502264
506250,34
34,506250
586018,29
29,586018
26234,35
35,26234
802,36
36,802
25804,20
20,25804
26881,35
35,26881
26793,20
20,26793
2843,183
183,2843
26421,55
55,26421
3050,183
183,3050
3097,183
183,3097
6506,219
219,6506
26155,822
822,26155
16333,38
38,16333
16506,213
213,16506
21146,35
35,21146
25319,35
35,25319
25416,20
20,25416
26432,55
55,26432
29245,145
145,29245
33962,38
38,33962
39985,38
38,39985
42097,884
884,42097
42622,148
148,42622
48194,213
213,48194
48256,212
212,48256
51432,36
36,51432
52502,34
34,52502
62140,20
20,62140
92161,148
148,92161
102317,36
36,102317
103892,36
36,103892
26569,822
822,26569
104560,159
159,104560
106583,36
36,106583
125080,33
33,125080
132572,217
217,132572
134620,33
33,134620
26393,214
214,26393
144786,36
36,144786
146317,28
28,146317
146356,213
213,146356
146456,212
212,146456
156752,212
212,156752
567755,41
41,567755
683525,33
33,683525
776965,37
37,776965
840806,211
211,840806
463,142
142,463
887,159
159,887
1042,1042
1042,1042
1842,32
32,1842
82174,218
218,82174
94788,38
38,94788
128077,30
30,128077
202973,16
16,202973
141924,16
16,141924
152406,801
801,152406
175742,159
159,175742
200166,16
16,200166
202852,215
215,202852
185541,38
38,185541
192758,218
218,192758
193313,142
142,193313
198419,159
159,198419
200805,96
96,200805
204271,96
96,204271
204561,30
30,204561
207801,225
225,207801
203040,29
29,203040
210087,41
41,210087
212546,230
230,212546
218861,115
115,218861
203197,854
854,203197
237847,668
668,237847
327413,801
801,327413
390413,17
17,390413
393593,229
229,393593
426130,148
148,426130
427559,30
30,427559
574558,55
55,574558
660687,40
40,660687
668370,229
229,668370
671272,29
29,671272
675965,142
