src,dst
762133,6780
147741,2006102
147741,2078085
288,101625
288,2683
288,818019
41252,13360
41252,187938
41252,3857
41252,133123
41252,156724
41252,2119
41252,203000
41252,486282
41252,157055
41252,33486
147750,169237
721198,168193
180522,656
180522,8851
180522,6506
180522,481544
213288,15916
770336,390783
3547421,516567
327977,820024
327977,105084
41262,1040
41262,1296
41262,3921
41262,437
41262,2280
41262,42780
41262,83404
147756,214178
147756,205942
24879,1538
24879,171632
24879,1780
24879,41621
24879,5753
24879,5468
24879,749
24879,3935
213299,472822
213296,173338
213296,152379
213296,1141853
213296,152396
221495,1223508
172343,13134
1474848,811130
319804,39984
319804,8969
188731,125293
188731,13375
205119,20571
205119,158089
205119,793809
123196,158064
123196,205592
852272,950436
41278,976
41278,92161
41278,199889
41278,378225
41278,713310
41278,1335
41278,1352
41278,6106
508231,9783
319813,140147
319813,645832
319813,166997
319813,5384
319813,739491
319813,837478
319813,48107
319813,158799
41283,140631
270656,167839
328000,604283
213317,22953
139588,60956
328015,1018592
262472,167617
262472,31565
334,1410
334,18808
213324,181557
213324,3037
1016159,502272
688473,639674
340,65
340,1858
340,16520
340,81033
340,3561
340,490
340,1715
340,41843
340,1524
340,727
340,3805
340,7903
340,51103
342,133315
342,13464
1204548,424773
1204548,214651
516432,679238
385375,1735
131416,471886
155993,72248
350,2966
350,49111
350,81581
500071,207999
541032,811130
16739,1850
16739,225641
16739,990738
164193,4115712
639340,46655
131429,572041
131429,193920
131429,173121
131429,778941
131429,212773
131429,139242
131429,8969
131429,125293
131429,9022
131429,23551
131429,155277
164197,1003551
164197,3313109
164197,1001941
164197,93358
844133,2055
188776,509739
188776,216638
500076,216790
729447,835848
729447,52845
729447,847715
365,5776
365,34370
365,36647
365,3992
365,16010
365,24826
365,588
365,956
365,100188
365,33935
844130,2028
565624,326123
41329,168866
41329,853708
41329,30002
41329,279
41329,81033
41329,174684
41329,1020320
188785,340566
57719,1729
123258,1858
123258,1861
696694,11725
393594,588760
393594,29234
8572,152567
172415,160450
172415,36036
172415,42308
172415,170247
172415,101254
172415,178373
172415,456
172415,459
172415,268
172415,2765
172415,199500
172415,134674
172415,2770
172415,858713
172415,127063
172415,59670
172415,42007
172415,11736
172415,131290
172415,60956
172415,192606
172415,41572
172415,156713
172415,14318
172415,985462
172415,43070
516474,917330
647543,48344
393593,200908
336250,876176
384,10305
384,1731
384,1799
384,13386
384,185289
384,23564
384,269
384,34001
384,38545
384,147089
384,849561
384,406
384,472
384,1435
384,7003
384,35997
384,51685
384,171943
384,19689
384,2090
384,129259
384,134514
384,437
384,711474
384,22905
384,11194
384,168057
384,1342
384,3711
385,25410
385,1829
385,606126
385,1707
385,776965
385,2415
385,1128384
385,18419
385,237655
385,43382
385,167668
385,192155
385,5083
385,182521
385,5660
385,300856
385,640469
385,189823
2507175,12825018
1188240,597086
188801,39984
188806,72818
852363,584815
852363,1166602
164234,42448
164234,187861
164234,181966
164234,1647
393,74881
393,4098
393,1763
393,38022
393,503361
393,72425
393,2861
393,776965
393,158893
393,2706
393,128147
393,26234
393,2843
393,3519
41358,140631
188813,1719466
467351,1009308
106896,107392
106896,855324
106896,754664
106896,969578
106896,339918
106896,186237
164241,544801
172438,485172
172438,132404
172438,13367
172438,13464
172438,157144
172438,46940
172438,3902
406,384
406,641
406,79808
406,34370
406,1861
406,16520
406,3659
406,269
406,270
406,1486
406,5838
406,187346
406,1489
406,5713
406,84
406,83285
406,85
406,727
406,216
406,11739
406,3805
406,7903
406,3551
406,8673
406,994
406,612
406,35493
406,19689
406,1963
406,172
406,40816
406,47282
406,1524
406,3766
406,5753
406,11194
406,2044
406,81788
500125,807901
57756,231765
57756,203380
131491,51103
49571,2656
172455,1515
115117,437
8621,48320
8621,162615
8621,187812
8621,208889
8621,1085
8621,2071681
49581,10509
49583,125080
156080,373059
156080,588
500147,219093
437,384
437,37320
437,649
437,185289
437,1741
437,13134
437,498453
437,3927
437,216
437,1435
437,546
437,994
437,2795
437,115117
437,41262
437,1647
437,239
437,180717
437,240
437,30002
437,13298
437,1524
437,1780
437,188022
437,1721
437,11194
437,2938
437,2683
437,3711
147895,52896
147895,387396
147895,1023760
262579,178855
983473,13372
1663450,42622
8645,44013
696783,40191
453,536826
453,774352
8646,612
2343396,499318
2343396,974468
2343396,210760
456,2256
456,25409
456,41843
456,580
456,5687
456,5753
456,37801
456,490
456,172415
456,1854
456,2079
456,41183
1090008,309355
459,54880
459,92161
459,25409
459,40738
459,15174
459,5753
459,206954
459,200078
459,172415
459,2079
459,199500
8652,2656
8652,34820
8652,34692
8652,62823
8652,131818
8652,8969
8652,6122
8652,3306
8652,174
8652,1486
8652,171632
8652,2868
8652,48278
8652,183124
8652,165204
8652,1814658
8652,219583
8652,3805
8652,51103
8652,170525
1827286,204271
463,1854
516567,3547421
270806,27119
8660,84
8660,612
8660,25270
8660,3929
8660,1865
8660,3882
8660,269
205271,236083
205271,807901
205271,748533
205271,847715
639452,37801
639452,797568
1901003,5066297
1901003,756593
1901003,83324
472,384
472,163490
472,994
472,40738
472,3561
472,19689
472,490
472,270
472,33935
472,84
472,1524
472,1780
472,1294439
472,3805
472,1757
983511,5776
57818,41843
57818,104725
57818,984858
57818,54886
57818,204234
147934,27168
147934,4195
147934,499169
147934,544833
147934,322126
147934,160584
147934,52975
147934,57970
147934,14835
147934,147607
147934,2966
147934,847764
147934,2684
66013,52101
188894,45779
188894,360374
188894,104345
770518,42200
770518,171545
500186,742854
8673,1425428
8673,994
8673,23556
8673,8678
8673,7880
8673,26600
8673,309164
8673,3252409
8673,2090
8673,39178
8673,1867
8673,43595
8673,19660
8673,239
8673,3889
8673,66485
8673,85
8673,406
8673,34713
8673,637555
270821,43301
1982975,116341
90595,817118
999916,219093
16868,816845
16868,124739
16868,1641083
16868,1798559
16868,1785340
16868,386991
16868,189128
16868,328846
16868,1015681
16868,173270
16868,61301
16868,140631
16868,778941
16868,938835
16868,9022
8678,1218
8678,25475
8678,34820
8678,16520
8678,270
8678,1486
8678,33935
8678,1489
8678,727
8678,5582862
8678,5468
8678,7903
8678,917330
8678,51103
8678,8673
8678,612
8678,158119
8678,192807
8678,3751
8678,26155
8678,8684
8678,1070
8678,1019424
8678,3889
8678,1524
8678,181557
8678,5112
8678,5753
8678,24826
8678,956
8678,1533
188901,207639
188901,42120
631265,52896
688611,155277
490,1794
490,34820
490,121157
490,3141
490,3718
490,456
490,2634
490,193289
490,185289
490,1486
490,33935
490,5776
490,2256
490,1297
490,5972
490,340
490,48278
490,472
490,3805
490,1761
490,546
490,1919098
490,13674
490,172
490,174
490,8686
490,985531
490,35765
490,3130
490,956
490,9022
490,31487
8684,1858
8684,1861
8684,23430
8684,649
8684,1353
8684,1867
8684,270
8684,1486
8684,1489
8684,1490
8684,85
8684,2841
8684,90
8684,987
8684,220
8684,487704
8684,3616
8684,8678
8684,19689
8684,174
8684,3630
8684,18094
8684,1520
8684,1524
8684,3640
8684,3130
8684,16635
8684,60
8684,956
8684,61
8684,62
8686,79808
8686,34370
8686,1861
8686,16520
8686,585
8686,269
8686,23311
8686,133073
8686,84
8686,41621
8686,87
8686,7903
8686,3935
8686,612
8686,162279
8686,36647
8686,490
8686,131694
8686,174
8686,37806
8686,3889
8686,43509
8686,35381
8686,1850
